pair,entry_time,exit_time,gross_ret,net_ret,capital_used,pnl,z_entry,stopped_out
ETHUSDT/OPUSDT,2023-03-09,2023-03-11,-0.14282427103224293,-0.14482427103224293,3308.1707958878415,-479.1034239646116,-1.3081707958878415,True
ETHUSDT/OPUSDT,2023-03-10,2023-03-15,0.2685946317096456,0.2665946317096456,3709.0519470821205,988.8133378243018,-1.7090519470821206,False
ETHUSDT/OPUSDT,2023-05-28,2023-06-02,0.13422221632119313,0.13222221632119313,3384.4843039301077,447.5040157699295,1.3844843039301076,False
ETHUSDT/OPUSDT,2023-07-07,2023-07-12,0.0077305325478709275,0.005730532547870927,3090.8778684632002,17.712376226722284,1.0908778684632003,False
ETHUSDT/OPUSDT,2023-10-23,2023-10-28,0.01337203009785548,0.01137203009785548,3251.0620014117626,36.97117493004884,-1.251062001411763,False
ETHUSDT/OPUSDT,2023-12-07,2023-12-12,0.009135849559469555,0.007135849559469555,3052.4301548568974,21.78168237584718,-1.0524301548568975,False
ETHUSDT/OPUSDT,2024-02-29,2024-03-03,-0.11644300313194944,-0.11844300313194944,3553.435519990376,-420.8795744234005,1.553435519990376,True
ETHUSDT/OPUSDT,2024-04-04,2024-04-08,-0.18762541305693536,-0.18962541305693537,3280.038524605414,-621.9786600709624,1.2800385246054136,True
ETHUSDT/OPUSDT,2024-05-01,2024-05-06,-0.019848172018746446,-0.021848172018746448,3005.650344753231,-65.66796576037315,1.0056503447532308,False
ETHUSDT/OPUSDT,2024-05-02,2024-05-07,0.07111435105971098,0.06911435105971098,4290.2198895279425,296.5157635681887,2.2902198895279424,False
ETHUSDT/OPUSDT,2024-06-03,2024-06-08,0.13062766968742034,0.12862766968742034,3064.072336410253,394.1244843861403,1.064072336410253,False
ETHUSDT/OPUSDT,2024-07-25,2024-07-30,-0.0072358525624947045,-0.009235852562494705,3230.608110799192,-29.837420198540897,-1.2306081107991922,False
ETHUSDT/OPUSDT,2024-07-26,2024-07-31,-0.10949927695426531,-0.11149927695426531,3279.785375907854,-365.69369797889897,-1.279785375907854,True
ETHUSDT/OPUSDT,2024-07-31,2024-08-05,0.6036726009832415,0.6016726009832415,3130.7671885446057,1883.6968374046232,1.1307671885446058,False
ETHUSDT/OPUSDT,2024-08-01,2024-08-06,0.46616055000385637,0.46416055000385636,3392.0786846386495,1574.4691079182332,1.3920786846386497,False
ETHUSDT/OPUSDT,2024-08-04,2024-08-05,-0.23691502742943482,-0.23891502742943482,3163.199606066182,-755.7359206480793,-1.1631996060661818,True
ETHUSDT/OPUSDT,2024-08-22,2024-08-23,-0.11766012044159135,-0.11966012044159136,3770.3319261430584,-451.15837238705546,1.7703319261430586,True
ETHUSDT/OPUSDT,2024-09-13,2024-09-18,0.05022812998616433,0.048228129986164325,3056.2726441397735,147.39831435473116,1.0562726441397736,False
ETHUSDT/OPUSDT,2024-10-19,2024-10-24,-0.03191005608576214,-0.03391005608576214,4569.399163157635,-154.94858190090997,-2.5693991631576343,False
ETHUSDT/OPUSDT,2024-10-28,2024-11-02,0.13895516044373357,0.13695516044373357,3170.2384820039742,434.18051994775266,1.170238482003974,False
ETHUSDT/OPUSDT,2024-11-12,2024-11-14,-0.1589449693553765,-0.1609449693553765,3686.4790756842813,-593.3202618652433,-1.6864790756842811,True
ETHUSDT/OPUSDT,2024-11-24,2024-11-27,-0.2089557735306512,-0.2109557735306512,3106.5912755674517,-655.3533655809042,1.1065912755674514,True
ETHUSDT/OPUSDT,2025-02-23,2025-02-28,0.29903372619238544,0.29703372619238544,3021.66930457479,897.537692859004,1.0216693045747902,False
ETHUSDT/OPUSDT,2025-03-28,2025-04-02,0.24190567251064865,0.23990567251064865,3976.7951595595678,954.0557171912304,1.9767951595595683,False
